isbn,Title,Author,num_pages,publication_date,publisher,genres,Price
0764585746,Shakespeare's Romeo and Juliet,William Shakespeare,231,5/8/2000,Hungry Minds,Classics,30.5
1421808323,Nineteen Eighty-Four,George Orwell,387,7/1/2005,1st World Library,Classics,35.99
0812969707,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,397,9/12/2006,Random House,History,32.0
0743484185,Easy Prey (Lucas Davenport  #11),John Sandford,480,6/1/2004,Simon & Schuster,Mystery,10.5
0571219764,Self,Yann Martel,331,4/7/2003,Faber  Faber,Fiction,33.5
0440421705,Hoot,Carl Hiaasen,292,3/14/2006,Yearling Books,Young Adult,14.0
0393096335,Crime and Punishment (Norton Critical Editions),Fyodor Dostoyevsky,690,4/1/1964,Norton and Co.,Classics,28.5
0439228905,Black Beauty,Anna Sewell,245,3/1/2003,Scholastic Paperbacks,Classics,17.5
0140437975,Maggie: A Girl of the Streets and Other Tales of New York,Stephen Crane,272,3/29/2001,Penguin Classics,Classics,17.5
0553299492,The Robots of Dawn (Robot #3),Isaac Asimov,435,3/1/1994,Spectra,Science Fiction,36.5
0307346587,Everyday Pasta,Giada De Laurentiis,240,4/3/2007,Clarkson Potter,Food and Drink,32.99
0590438808,Aesop's Fables,Aesop,80,11/1/1963,Scholastic Paperbacks,Classics,14.5
0451529758,The Jungle Books,Rudyard Kipling,368,5/3/2005,Signet Classics,Classics,24.0
0446528056,Dear John,Nicholas Sparks,276,10/30/2006,Warner Books (NY),Romance,11.99
0452284554,Riding the Bus with My Sister: A True Life Journey,Rachel Simon,304,8/26/2003,Plume,Nonfiction,25.99
1841591165,Jeeves in the Offing (Jeeves  #12),P.G. Wodehouse,208,9/12/2002,Everyman,Fiction,13.99
0679752935,Patrimony,Philip Roth,240,6/3/1996,Vintage,Autobiography,39.5
0940450836,Novels and Stories,Zora Neale Hurston,1054,2/1/1995,Library of America,Fiction,37.5
