Sale_ID,Employee_ID,Customer_Loyalty,Date
900397,101011,202516,2020-10-19
900782,101003,202955,2020-04-25
900233,101002,202630,2021-07-08
900130,101007,None,2018-05-18
900382,101014,None,2021-02-26
900946,101008,202161,2021-02-03
900464,101014,None,2024-05-18
900677,101007,202458,2021-09-25
900770,101002,None,2024-11-18
900917,101011,202131,2023-03-30
900667,101010,202161,2023-02-25
900793,101012,202308,2021-07-03
900307,101003,202762,2022-05-18
900570,101005,202387,2019-09-06
900691,101008,202796,2020-11-09
900299,101012,None,2019-01-14
900540,101011,202652,2022-08-02
900102,101012,202943,2020-09-26
900245,101008,202825,2021-01-22
900263,101012,202762,2022-02-23
900833,101011,None,2020-11-17
900840,101008,None,2018-09-10
900694,101012,202622,2024-10-02
900845,101010,None,2021-07-11
900297,101003,202465,2019-06-22
900330,101003,None,2024-11-20
900669,101013,202527,2023-02-22
900945,101006,202240,2018-04-01
900229,101005,None,2021-08-05
900375,101010,202109,2023-06-26
900634,101006,202527,2018-04-12
900427,101006,None,2024-06-28
900645,101009,202537,2020-07-15
900403,101013,None,2023-11-02
900831,101003,202246,2022-12-26
900800,101014,202246,2022-12-24
900702,101004,None,2020-12-14
900706,101005,202955,2022-02-23
900535,101001,None,2023-05-19
900188,101002,202910,2018-04-05
900769,101013,None,2023-04-04
900592,101009,None,2018-11-26
900396,101009,202161,2019-11-17
900984,101001,None,2019-12-20
900323,101005,None,2022-07-27
900469,101008,202219,2023-01-31
900144,101006,202602,2018-10-07
900430,101003,202915,2019-08-16
900105,101004,202728,2019-11-23
900191,101008,202109,2022-01-31
900370,101013,202447,2020-11-18
900959,101009,202675,2019-10-02
900646,101013,202513,2022-08-30
900406,101003,202507,2021-02-20
900271,101012,None,2024-02-03
900264,101010,202505,2021-06-21
900880,101001,None,2021-09-03
900515,101007,202514,2019-11-27
900903,101003,202256,2024-02-12
900129,101009,None,2021-12-08
900331,101004,202323,2022-11-18
900260,101014,202321,2022-10-21
900367,101003,202513,2023-05-30
900298,101013,None,2023-07-22
900951,101004,None,2018-08-07
900593,101014,202602,2019-05-15
900608,101010,202643,2020-08-13
900822,101012,202131,2023-01-07
900127,101009,None,2019-10-28
900405,101014,202352,2018-10-25
900849,101009,202762,2020-09-29
900598,101001,202709,2021-10-05
900643,101009,None,2023-04-03
900878,101006,202811,2018-10-14
900637,101012,202481,2023-12-08
900858,101001,None,2019-11-17
900577,101014,None,2019-09-17
900797,101006,202135,2021-05-24
900704,101002,None,2019-09-17
900228,101012,None,2019-05-21
900157,101009,202490,2023-12-14
900126,101013,202622,2022-06-28
900523,101002,202825,2024-02-16
900387,101006,None,2019-08-12
900310,101011,None,2024-09-19
900179,101013,202522,2021-07-31
900933,101013,None,2023-03-27
900498,101007,202643,2019-02-10
900356,101004,None,2024-03-08
900432,101005,202240,2020-07-17
900541,101009,None,2020-07-01
900744,101002,202352,2019-08-28
900168,101009,None,2020-08-05
900420,101003,202939,2020-04-16
900150,101001,None,2024-07-22
900282,101011,202994,2019-02-13
900916,101008,202234,2019-06-19
900155,101006,202935,2024-01-21
900897,101013,202721,2022-12-30
900412,101007,None,2021-02-26
900388,101013,202206,2022-11-24
900389,101005,202630,2019-04-21
900978,101002,202762,2019-11-22
900927,101004,202149,2019-05-16
900604,101008,202943,2024-09-01
900658,101007,None,2023-07-28
900338,101008,None,2022-04-17
900227,101001,202476,2019-03-16
900813,101002,202514,2023-03-27
900115,101007,202822,2018-03-24
900747,101009,None,2022-02-11
900254,101007,202649,2022-03-20
900470,101006,202971,2019-06-01
900251,101012,None,2020-02-11
900745,101007,202910,2023-01-23
900888,101002,202206,2020-07-20
900937,101003,202298,2018-06-11
900507,101013,None,2023-01-10
900509,101005,None,2020-12-06
900510,101003,202910,2024-06-23
900972,101013,202775,2019-10-26
900379,101007,None,2022-02-19
900295,101012,202261,2020-01-03
900550,101013,None,2024-07-30
900502,101001,None,2020-09-13
900922,101011,202796,2022-12-16
900309,101001,None,2018-05-27
900557,101009,202490,2022-08-16
900511,101014,202590,2019-03-07
900647,101009,202101,2018-11-20
900827,101013,202308,2020-11-25
900991,101004,202527,2022-11-11
900948,101001,None,2023-10-25
900638,101003,None,2018-05-29
900281,101010,None,2020-02-09
900812,101008,202135,2023-10-03
900101,101010,202827,2023-06-17
900899,101002,None,2024-11-20
900167,101007,202308,2020-05-14
900676,101001,202298,2020-07-08
900836,101008,202328,2019-10-25
900558,101011,202308,2019-10-13
900814,101002,202559,2023-12-17
900931,101003,None,2022-11-08
900351,101013,None,2023-04-11
900889,101013,None,2023-03-06
900568,101004,202516,2021-03-05
900120,101012,202630,2024-06-30
900778,101013,202602,2022-12-14
900438,101004,202649,2022-09-12
900377,101002,None,2021-11-23
900552,101001,None,2019-01-23
900212,101006,None,2020-03-09
900864,101010,202327,2023-06-16
900689,101012,None,2023-12-14
900854,101006,None,2022-10-09
900882,101007,202788,2024-11-21
900314,101006,None,2024-08-25
900258,101002,None,2021-06-29
900803,101008,None,2022-11-23
900935,101004,202360,2024-09-11
900649,101007,None,2019-02-01
900413,101008,202211,2018-04-21
900799,101001,202109,2023-07-11
900726,101005,None,2019-08-02
900716,101010,202711,2018-05-02
900408,101008,None,2020-01-28
900639,101006,None,2021-06-27
900860,101013,202458,2018-03-23
900533,101003,202559,2018-10-11
900478,101003,None,2022-04-21
900987,101012,202550,2018-06-22
900198,101006,202643,2020-12-22
900325,101005,None,2024-11-15
900950,101007,202164,2021-06-06
900111,101001,202971,2021-02-10
900206,101007,202825,2021-07-08
900422,101009,None,2022-12-19
900390,101011,None,2023-02-01
900225,101008,202360,2018-12-18
900311,101002,None,2020-02-09
900794,101002,202282,2022-09-08
900353,101004,202457,2019-08-09
900180,101011,None,2022-11-01
900578,101012,202261,2019-01-23
